"model_name","model","p","d","q","P","D","Q","period","parameter_count","AIC","LjungBox_p","RMSE","MAE","has_warning","warning_text"
"tlb_s298_SARIMA_1_2_0_2_0_0_12","SARIMA(1,2,0)(2,0,0)[12]",1,2,0,2,0,0,12,3,966.564566415719,0.0228677215881082,11520.4337856103,8732.26976141377,FALSE,""
"tlb_s293_SARIMA_1_2_0_1_0_1_12","SARIMA(1,2,0)(1,0,1)[12]",1,2,0,1,0,1,12,3,966.564763385101,0.0228305095247149,11547.8074572737,8754.03366699242,FALSE,""
"tlb_s362_SARIMA_2_2_0_2_0_2_12","SARIMA(2,2,0)(2,0,2)[12]",2,2,0,2,0,2,12,6,966.191105175859,0.000870981724967579,11549.3008953791,8733.22011440139,FALSE,""
"tlb_s299_SARIMA_1_2_0_2_0_1_12","SARIMA(1,2,0)(2,0,1)[12]",1,2,0,2,0,1,12,4,968.564096534066,0.0153894950239937,11626.0046600607,8813.40634965893,FALSE,""
"tlb_s372_SARIMA_2_2_1_1_0_0_12","SARIMA(2,2,1)(1,0,0)[12]",2,2,1,1,0,0,12,4,962.631990713985,0.00206837251062841,11999.4583430001,9096.12447753605,FALSE,""
"tlb_s420_SARIMA_3_2_1_1_0_0_12","SARIMA(3,2,1)(1,0,0)[12]",3,2,1,1,0,0,12,5,964.629444937166,0.00118342168549723,12003.9969898339,9101.20436872591,FALSE,""
"tlb_s354_SARIMA_2_2_0_1_0_0_12","SARIMA(2,2,0)(1,0,0)[12]",2,2,0,1,0,0,12,3,961.186864801063,0.00170488414431447,12403.1700679529,9459.01015610958,FALSE,""
"tlb_s404_SARIMA_3_2_0_1_0_0_12","SARIMA(3,2,0)(1,0,0)[12]",3,2,0,1,0,0,12,4,963.046997607913,0.00132102488765873,12440.86618903,9475.91687164218,FALSE,""
"tlb_s292_SARIMA_1_2_0_1_0_0_12","SARIMA(1,2,0)(1,0,0)[12]",1,2,0,1,0,0,12,2,964.574737540005,0.0303852415073936,12507.5672189767,9525.36409267476,FALSE,""
"tlb_s412_SARIMA_3_2_0_2_1_0_12","SARIMA(3,2,0)(2,1,0)[12]",3,2,0,2,1,0,12,5,749.291186024274,0.051492429531953,12632.2540051068,9379.40749643411,FALSE,""
"tlb_s295_SARIMA_1_2_0_1_1_0_12","SARIMA(1,2,0)(1,1,0)[12]",1,2,0,1,1,0,12,2,751.963743872191,0.0323952566909702,12928.3315245516,12449.4741838556,FALSE,""
"tlb_s413_SARIMA_3_2_0_2_1_1_12","SARIMA(3,2,0)(2,1,1)[12]",3,2,0,2,1,1,12,6,751.081543260453,0.0268156644926795,13133.0394475231,9772.05470058465,FALSE,""
"tlb_s363_SARIMA_2_2_0_2_1_0_12","SARIMA(2,2,0)(2,1,0)[12]",2,2,0,2,1,0,12,4,747.698143362678,0.0962002515256483,13537.9024663078,10126.3555362347,FALSE,""
"tlb_s229_SARIMA_0_2_0_2_0_1_12","SARIMA(0,2,0)(2,0,1)[12]",0,2,0,2,0,1,12,3,976.548165115316,0.0154620531778105,13845.6686949699,10675.7123733906,FALSE,""
"tlb_s364_SARIMA_2_2_0_2_1_1_12","SARIMA(2,2,0)(2,1,1)[12]",2,2,0,2,1,1,12,5,749.410660985112,0.0571756411350623,14108.6346833481,10569.6710527661,FALSE,""
"tlb_s300_SARIMA_1_2_0_2_0_2_12","SARIMA(1,2,0)(2,0,2)[12]",1,2,0,2,0,2,12,5,970.436583792875,0.00813068629977065,14237.7132246429,10821.5427278188,FALSE,""
"tlb_s301_SARIMA_1_2_0_2_1_0_12","SARIMA(1,2,0)(2,1,0)[12]",1,2,0,2,1,0,12,3,749.158429834712,0.231794250455683,14554.1785133427,10839.9506881526,FALSE,""
"tlb_s365_SARIMA_2_2_0_2_1_2_12","SARIMA(2,2,0)(2,1,2)[12]",2,2,0,2,1,2,12,6,749.133081326662,0.0154630682361647,15061.0326093229,11515.34433551,FALSE,""
"tlb_s398_SARIMA_3_2_0_0_0_0_12","SARIMA(3,2,0)(0,0,0)[12]",3,2,0,0,0,0,12,3,972.61434620784,0.00437748359576351,15823.4266953984,13362.6800752314,FALSE,""
"tlb_s302_SARIMA_1_2_0_2_1_1_12","SARIMA(1,2,0)(2,1,1)[12]",1,2,0,2,1,1,12,4,750.700644680086,0.167638526398071,16177.5952020409,12141.371302693,FALSE,""
"tlb_s348_SARIMA_2_2_0_0_0_0_12","SARIMA(2,2,0)(0,0,0)[12]",2,2,0,0,0,0,12,2,971.763667664625,0.00524643215354004,17959.6817720949,15292.354119654,FALSE,""
"tlb_s225_SARIMA_0_2_0_1_1_0_12","SARIMA(0,2,0)(1,1,0)[12]",0,2,0,1,1,0,12,1,756.24589334313,0.00013859558068996,18209.8973949058,17292.1882271874,FALSE,""
"tlb_s233_SARIMA_0_2_0_2_1_2_12","SARIMA(0,2,0)(2,1,2)[12]",0,2,0,2,1,2,12,4,754.506981633409,0.00136469944691808,18844.9800453716,14557.2453979838,FALSE,""
"tlb_s303_SARIMA_1_2_0_2_1_2_12","SARIMA(1,2,0)(2,1,2)[12]",1,2,0,2,1,2,12,5,750.072206999767,0.036530137589381,18945.1790087815,14899.3379419152,FALSE,""
"tlb_s399_SARIMA_3_2_0_0_0_1_12","SARIMA(3,2,0)(0,0,1)[12]",3,2,0,0,0,1,12,4,966.738566238051,0.000547745264316002,23237.2473819265,19042.1940332957,FALSE,""
"tlb_s349_SARIMA_2_2_0_0_0_1_12","SARIMA(2,2,0)(0,0,1)[12]",2,2,0,0,0,1,12,3,964.741576182314,0.000958048085082708,23446.6729463586,19222.3939739701,FALSE,""
"tlb_s286_SARIMA_1_2_0_0_0_0_12","SARIMA(1,2,0)(0,0,0)[12]",1,2,0,0,0,0,12,1,981.020605189714,3.2152520965667e-06,25938.9747987887,22514.2807403997,FALSE,""
"tlb_s287_SARIMA_1_2_0_0_0_1_12","SARIMA(1,2,0)(0,0,1)[12]",1,2,0,0,0,1,12,2,968.478628348115,0.0085679023498717,32174.8077306962,26800.8257532003,FALSE,""
"tlb_s218_SARIMA_0_2_0_0_0_1_12","SARIMA(0,2,0)(0,0,1)[12]",0,2,0,0,0,1,12,1,977.733565523843,0.0355660222633021,32766.7136926471,27117.9311914396,FALSE,""
